tempo,entidade,regiao,localizacao_geografica,total_usf,latitude,longitude,source,source_detail
2026-03,Área dos CSP da ULS Lisboa Ocidental,Lisboa e Vale do Tejo,"{'lon': -9.3815130504, 'lat': 38.698818794}",2412,38.698818794,-9.3815130504,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Loures / Odivelas,Lisboa e Vale do Tejo,"{'lon': -9.176301, 'lat': 38.821769}",1188,38.821769,-9.176301,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Médio Ave,Norte,"{'lon': -8.482973945, 'lat': 41.346844614}",1764,41.346844614,-8.482973945,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha de Santa Maria,SRS Açores,"{'lon': -25.1466, 'lat': 36.9589}",380,36.9589,-25.1466,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha de São Jorge,SRS Açores,"{'lon': -28.038402557373, 'lat': 38.615495}",864,38.615495,-28.038402557373,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Alentejo Central,Alentejo,"{'lon': -7.903064, 'lat': 38.568838}",2376,38.568838,-7.903064,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Litoral Alentejano,Alentejo,"{'lon': -8.731693, 'lat': 38.039936}",4420,38.039936,-8.731693,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Litoral Alentejano,Alentejo,,1144,,,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Baixo Mondego,Centro,"{'lon': -8.860696177, 'lat': 40.130297609}",1044,40.130297609,-8.860696177,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Cova da Beira,Centro,"{'lon': -7.501801, 'lat': 40.279552}",4708,40.279552,-7.501801,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Viseu Dão-Lafões,Centro,"{'lon': -7.915314, 'lat': 40.659169}",10880,40.659169,-7.915314,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Arco Ribeirinho,Lisboa e Vale do Tejo,"{'lon': -9.05825614929199, 'lat': 38.6527214050293}",1368,38.6527214050293,-9.05825614929199,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Arrábida,Lisboa e Vale do Tejo,"{'lon': -8.8874, 'lat': 38.531}",7480,38.531,-8.8874,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Alto Ave,Norte,"{'lon': -8.2945278754, 'lat': 41.426805082}",2124,41.426805082,-8.2945278754,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Alto Minho,Norte,"{'lon': -8.832522, 'lat': 41.696866}",14472,41.696866,-8.832522,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Gaia / Espinho,Norte,"{'lon': -8.5796956622, 'lat': 41.127363348}",2196,41.127363348,-8.5796956622,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Matosinhos,Norte,"{'lon': -8.66314, 'lat': 41.1807}",6420,41.1807,-8.66314,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Póvoa Varzim / Vila do Conde,Norte,"{'lon': -8.7448970377, 'lat': 41.355472362}",6206,41.355472362,-8.7448970377,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Trás-os-Montes Alto Douro,Norte,"{'lon': -7.74841, 'lat': 41.2969}",4140,41.2969,-7.74841,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha do Pico,SRS Açores,"{'lon': -28.2524, 'lat': 38.397}",1296,38.397,-28.2524,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Baixo Alentejo,Alentejo,"{'lon': -7.8559468083, 'lat': 38.009362882}",11664,38.009362882,-7.8559468083,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Coimbra,Centro,"{'lon': -8.41058, 'lat': 40.21578}",4896,40.21578,-8.41058,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Guarda,Centro,"{'lon': -7.27322, 'lat': 40.5314}",9728,40.5314,-7.27322,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Lezíria,Lisboa e Vale do Tejo,"{'lon': -8.715083, 'lat': 39.232503}",1764,39.232503,-8.715083,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Médio Tejo,Lisboa e Vale do Tejo,"{'lon': -8.404399, 'lat': 39.605565}",1980,39.605565,-8.404399,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Oeste,Lisboa e Vale do Tejo,"{'lon': -9.12709, 'lat': 39.4062582}",1800,39.4062582,-9.12709,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Santa Maria,Lisboa e Vale do Tejo,"{'lon': -9.168651, 'lat': 38.739567}",1440,38.739567,-9.168651,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS São João,Norte,"{'lon': -8.612651, 'lat': 41.169696}",2196,41.169696,-8.612651,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha de São Miguel,SRS Açores,"{'lon': -25.6676464080811, 'lat': 37.7575340270996}",2160,37.7575340270996,-25.6676464080811,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha do Faial,SRS Açores,"{'lon': -28.626522, 'lat': 38.54238}",382,38.54238,-28.626522,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
