facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,hospital_type,parent_entity
sns_urgency:53,hospital_emergency_official,SUB Castro Verde,37.7041,-8.08336,"Av. General Humberto Delgado, Apartado 17",Castro Verde,7780-123,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospital José Joaquim Fernandes - Beja - ULS Baixo Alentejo, E.P.E."
sns_urgency:54,hospital_emergency_official,SUB do Hospital Rainha Santa Isabel - Torres Novas,39.467897,-8.537108,"Av. Xanana Gusmão, apartado 45",Torres Novas,2350-754,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Médio Tejo, E.P.E."
sns_urgency:55,hospital_emergency_official,SUB do Hospital São Gonçalo - Amarante,41.302425,-8.080058,"Rua da Lama, nº 76",Telões-Amarante,4600-758,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Tâmega e Sousa, E.P.E."
sns_urgency:56,hospital_emergency_official,Urgência do Hospital Sousa Martins - Guarda,40.5314,-7.27322,Av. Rainha Dona Amélia,Guarda,6300-858,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospitais da ULS da Guarda, E.P.E."
sns_urgency:57,hospital_emergency_official,Urgência do Hospital Geral de Coimbra,40.195957,-8.459674,Quinta dos Vales,Coimbra,3046-853,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar e Universitário de Coimbra, E.P.E."
sns_urgency:58,hospital_emergency_official,Urgência da Maternidade Dr. Alfredo da Costa,38.732673,-9.147507,Rua Dr. Eduardo Torres,Senhora da Hora,4464-513,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital Pedro Hispano - ULS Matosinhos, E.P.E."
sns_urgency:59,hospital_emergency_official,SUB do Hospital Nossa Senhora da Graça - Tomar,39.605565,-8.404399,"Av. Maria de Lourdes de Mello e Castro, Apartado 118",Tomar,2304-909,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Médio Tejo, E.P.E."
sns_urgency:60,hospital_emergency_official,Urgência do Hospital de Portimão,37.155629,-8.539478,Rua Dr. António Fernando Covas Lima,Beja,7801-849,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital José Joaquim Fernandes - Beja - ULS Baixo Alentejo, E.P.E."
sns_urgency:61,hospital_emergency_official,Urgência do Centro Materno Infantil do Norte,41.152045,-8.624168,Largo da Maternidade,Porto,4050-371,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar Universitário de Santo António, E.P.E."
sns_urgency:62,hospital_emergency_official,Urgência da Maternidade Daniel de Matos,40.207788,-8.411566,Rua Conceição Fernandes - Vilar de Andorinho,Vila Nova de Gaia,4434-502,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E."
