facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,hospital_type,parent_entity
sns_urgency:84,hospital_emergency_official,SUB do Hospital Cândido de Figueiredo - Tondela,40.5378,-8.08359,Av. General Humberto Delgado,Tondela,3460-525,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Tondela-Viseu, E.P.E."
sns_urgency:85,hospital_emergency_official,SUB da Unidade Hospitalar de Proximidade de Lamego,41.083969,-7.795768,Quinta Calvilhe,Lamego,5100-038,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E."
sns_urgency:86,hospital_emergency_official,SUB do Hospital São José - Fafe,41.449886,-8.168964,Rua Miguel Torga,Coimbra,3030-165,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Centro Hospitalar e Universitário de Coimbra, E.P.E."
sns_urgency:87,hospital_emergency_official,SUB Arganil,40.215874952,-8.0545480127,"Rua Professor José Lourenço Nogueira, s/n, r/c",Arganil,3300-063,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,Grupo | Serviços de Urgência Básica | ARSC
sns_urgency:88,hospital_emergency_official,SUB Vila Real de Santo António,37.1909,-7.41762,Av. Ministro Duarte Pacheco,Vila Real de Santo António,8900-211,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Universitário do Algarve, E.P.E."
sns_urgency:89,hospital_emergency_official,SUB Alcácer do Sal,38.376337,-8.510121,"Av. José Saramago, 14",Alcácer do Sal,7580-206,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospital do Litoral Alentejano - Santiago do Cacém - ULS Litoral Alentejano, E.P.E."
sns_urgency:90,hospital_emergency_official,SUB Monção,42.0691,-8.48619,Lugar de Barreiras - Mazedo,Monção,4950-404,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Alto Minho - ULS Alto Minho, E.P.E."
sns_urgency:91,hospital_emergency_official,SUB do Hospital Nossa Senhora da Assunção - Seia,40.4208488464355,-7.697422,"Rua Dona Alexandrina Soares de Albergaria, s/n",Seia,6270-498,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospitais da ULS da Guarda, E.P.E."
sns_urgency:92,hospital_emergency_official,SUB Odemira,37.601196,-8.644773,Vale Pêgas de Baixo,Odemira,7630-236,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospital do Litoral Alentejano - Santiago do Cacém - ULS Litoral Alentejano, E.P.E."
sns_urgency:93,hospital_emergency_official,Urgência do Hospital Egas Moniz,38.6987,-9.18786,Largo da Maternidade,Porto,4050-371,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar Universitário de Santo António, E.P.E."
sns_urgency:94,hospital_emergency_official,SUB Algueirão Mem-Martins,38.7903,-9.35091,Rua das Eiras 34,Algueirão-Mem Martins,2725-079,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospital Prof. Doutor Fernando Fonseca, E.P.E."
