facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,collaboration,osm_type,osm_id,amenity,healthcare,healthcare_speciality,operator,phone,website,rd_x,rd_y
vzinfo_hap:97,huisartsenpost,Spoedpost Roermond,51.191026668555665,6.000098465148795,,Roermond,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,197846.0,355915.0
vzinfo_hap:3,huisartsenpost,Spoedpost Utrecht Stad,52.08180911250165,5.137650234595532,,Utrecht,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,137894.0,454867.0
vzinfo_hap:98,huisartsenpost,Spoedpost Weert,51.254054402674534,5.713779437889741,,Weert,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,177799.0,362798.0
vzinfo_hap:41,huisartsenpost,Spoedpost Westelijke Mijnstreek,50.9844987632343,5.841260487210064,,Sittard-Geleen,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,186885.0,332858.0
vzinfo_hap:119,huisartsenpost,Spoedpost Zuid,52.365448378824716,4.66927030442516,,Haarlem,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,106101.0,486638.0
vzinfo_hap:9,huisartsenpost,SpoedzorgNU,52.102894410346906,5.056935870936842,,Utrecht,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,132372.0,457235.0
vzinfo_hap:122,huisartsenpost,Stichting Huisartsenpost Amstelland,52.29404573026022,4.874324704172248,,Amstelveen,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus ziekenhuis,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,120011.0,478575.0
vzinfo_hap:121,huisartsenpost,Stichting Huisartsenpost Midden-Kennemerland,52.47970055870065,4.65014885236987,,Beverwijk,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren plus SEH 24/7,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,104928.0,499363.0
vzinfo_hap:125,huisartsenpost,"Vereniging Dienstenstructuur Zuidwest-Drenthe en Noordwest-Overijssel (DZDNO) (Diever, Dwingeloo)",52.838448395670525,6.363869729883775,,Dwingeloo,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,220810.0,539472.0
vzinfo_hap:124,huisartsenpost,"Vereniging Dienstenstructuur Zuidwest-Drenthe en Noordwest-Overijssel (DZDNO) (Frederiksoord, Vledder, Havelte)",52.84433802116362,6.181965195996592,,Frederiksoord,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,208546.0,539977.0
vzinfo_hap:123,huisartsenpost,"Vereniging Dienstenstructuur Zuidwest-Drenthe en Noordwest-Overijssel (DZDNO) (Giethoorn, Nijeveen)",52.72744469351329,6.0811230986755325,,Giethoorn,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP alle ANW-uren,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,201877.0,526900.0
vzinfo_hap:27,huisartsenpost,Waalwijk,51.685941839003696,5.053171404894335,,Waalwijk,,RIVM/VZinfo,"Locaties huisartsenspoedposten 2025, peildatum december 2025; config changed 20241208-1900; <p><i>Bron: Gebaseerd op Benchmark huisartsenposten 2024 (InEen, 2025); bewerkt door het RIVM</i></p>",HAP niet alle ANW-uren plus ziekenhuis,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap,131901.0,410848.0
